content,label
akun gopay saya di blok,0
Kenapa sih dari kemarin sy buka aplikasi gojek malah keluar sendiri terus Saya kasih bintang 2 dulu kalo sudah normal sy kasih bintang 7,2
Baru download gojek dan hape baru trus ditop u gopay transaksi dialfamart transaksi bloked transaksilaporan di pusat bantuan gak jelas yang ditanyakan apa jawaban lainlama lama gojek dikelola Tokopedia udah nyimpangapa gojek anak bangsa seperti dulu apa punya Tokopedia,0
Mantap,2
Bagus,2
Coba dulu,0
Ok,2
Gimana ini kak pin saya salah terus padahal udah di ubah masih salah,0
Biar aman kamu tidak bisa pakai gojek Jadi saya uninstal biar aman,0
Kumpulan driver sampah,0
Makin lama gojek makin ngga jelas susah bgt dapet driver buat gofood ongkirnya juga mahal bgt Mohon diperbaiki,0
Ok mantap,2
Verry Good,2
Aplikasi asuuu  makin lama main gx jelas  Ais hrs aplikasi ini lgi  Mending pake aplikasi lain lebih akurat,0
Misi dari gojek jago gak jelas syarat penyelesaiannya padahal udah jelas selesaikan misi dengan membeli voucher gpc 50k tapi masih gak dianggap belum selesai ,0
Untuk sekarang aplikasi nya good job dan banyakin lagih yah promo nya ,2
Mantap,2
Pelayanannya bagus,2
Gak jelas,0
Ok,2
Awesome Fun,2
Bagus bgt sumpahh wajib download,2
Nice,2
Kebanyakan pembaruan,0
Oke,2
Good Bintang 5,2
Lokasi harus cepat diupdate,2
Gojek oke,2
Payah jarang ada voucher semenjak bukan pak nadiem lagi,0
Bagus,2
Bagus,2
Ok,2
Terus tingkatkan layanan gojek banyakin promonya banyakin cashback nya,2
Bagus,2
Banyak maling dari driver gosend kurir sialan cuma nitip paket HP seharga 17 juta aja dibawa kabur udah komplain ke cs dijawab gak tau siapa identitas kurir aneh banget lu punya platform dan ini udh 2 hari belum ada respon lagi balikin duit gua dan lebih selektif utk menerima calon driver jangan calon maling diterima,0
Baik,2
Bagus,2
Driver untuk area malang tolong di tambah musih hujan  pesen berkali2 tidak dapat driver terus bikin kezell,2
Bagus banyak promo,2
Ini aplikasi knp Masa pakai kuota data gak bisa di gunakan Harus pakai wifi Emang di semua tmpt ada wifiiianehhh bgt aplikasi,0
ok,2
Gojek sangat membantu aktifitas kami,2
Baik,2
Bebas macet pakai Gojek,2
Baguss sekali apk ini,2
Gojek sekarang sepi driver,0
Orderan cepatn cepat sampen tdk nyasar,2
Kecewa dengan gofood sekarang tidak bisa lagi pakai 2 voucer sekaligus voucer aplikasivoucer resto Jadinya gk tertarik lagi untuk naikin go club Berharap aplikasi bisa kembali seperti dulu,0
Aplikasi gak bisa di install,0
Bagus,2
 Mari kita galbay pinjol Supaya bangkrut supaya Indonesia bebas riba,0
Maaf gw beri bintang dua Karena kolom rokok gak ada habis di upgrade,0
Baik,2
Sangat baik,2
Bagus Banget Buat Top Up Di Game Dan Aman Lagi Tanpa Halangan,2
Mantap,2
Semoga selalu menjaga protokol kesehatan dan memberi promo terusselalu mengutamakan keselamatan dalam mengemudi,2
Dikurangin lagi potongan untuk driver sama restonya yaa kasian pembeli,0
Rute gofoodnya dijauhin biar biaya antarnya nambah makin lama makin mahal dan ngga ada diskon error sering bgt customer service lama,0
Ok,2
Guud,2
Gofood saya sudah tidak bisa dipakai 2 minggu an ini katanya ada pemakaian yg tidak biasa Padahal saya juga gapernag memberi bintang kurang dari 5 samsek ga pernah nge cancel Kirain gegara down aplikasinya tp ya tetep aja,0
Bermanfaat,2
Sangat membantu dalam kehidupan sehari  hari,2
Biaya aplikasi aja di gedein erorr mulu yg nga bisa chat ama driver lah nga bisa mesen layanan lah payah payah,0
Cot,0
Aman dan sangat membantu,2
Ok,2
Kasih vocher dong gojek mana akun lama gak pernah kasih vocher gojek jangan pelit,2
Saya sebagai cs dan driver Di cs pesen makanan cari drivernya yg gacor2 jd lama pilih2 yg jauh pun jadi itu pun lama Di driver sehari order cuma di kasih 1 biji gmna mau nafkahin istri maaf kalo sy beralih dlu,0
ONGKIRNYA MAHAL BANGET DAN TIDAK ADA PROMO ATAU VOUCHER  PAKE GRAB AJA BANYAK PROMONYA,0
Sanggat baik,2
Sangat membantu ,2
Ok,2
Senang byk cashback nya Kalau bs promo tetap berlanjut terussssss,2
Mantap,2
makin mahal harga gak stabil naik seenaknya gojek sendiri,0
Gojekangkutan murah meriah,2
Saya kecewa sama gopay tidak bisa transfer ke rekening diatas jam 2100 ini bukan dompet digital Kalah dengan aplikasi dompet digital lain,0
Sangat terbantu,2
Top up bisa dari semua walet dengan pakai kode QR Sebab kebanyakan orang punya lebih dari satu wallet,2
Jlek,0
Bagus sangat bantu sekali,2
Bagus,2
bagus,2
Suksesss selalu for Gojek,2
Oke,2
Ok,2
Top,2
Memesan pizza yang datang ojek,0
Apkasinya bagus,2
Aplikasi jelek,0
Very good,2
